1,1,000104,000110,sb,lpt+jpt,
2,10,000118,000203,jpt,lpt,
3,3,000209,000241,jpt,jn,
4,16,000241,000340,jpt,am,
5,15,000422,000623,jpt,xm,
6,1,000731,000913,xm,xm,
7,1,000750,000803,jpt,jpt,
8,1,000849,000859,jpt,jpt,
9,1,000924,000929,jn,jpt,
10,1,000932,000937,am,jpt,
11,1,000937,000938,am,jn,
12,1,000938,000939,jpt,jn,
13,1,000940,000941,am,jn,
14,1,000941,000942,lpt,jpt,
15,1,000945,000947,am,lpt,
16,2,000948,000953,am,jpt,
17,4,000953,001023,lpt,jpt,
18,3,001024,001043,am,lpt,
19,3,001047,001057,lpt,xm,
20,1,001056,001100,am,lpt,
21,1,001231,001307,qz,qz,
22,2,001557,001716,lpt,xm,
23,1,001917,001919,sb,lpt,
24,1,001938,002118,lpt,xm,
25,11,002124,002246,lpt,jpt,
26,55,002438,004050,jpt,xm,
27,13,004136,004239,jpt,lpt,
28,5,004300,004459,jpt,xm,
29,4,004537,004547,jpt,zb,
30,9,004817,005307,jpt,xm,
31,21,005338,005609,lpt,jpt,
32,25,005652,010856,jpt,xm,
33,2,010950,011002,xm,am,
34,21,011013,011229,jpt,am,
35,2,011251,011254,jpt,lpt,
36,1,011257,011302,am,lpt+jpt,
37,2,011343,011404,jpt,xm,
38,1,011406,011411,am,lpt+jpt,
39,1,011422,011424,jpt,jpt,
40,2,011440,011449,jpt,xm,
41,1,011454,011509,am,nx,
42,19,011511,011816,am,lpt,
43,9,011953,012453,lpt,xm,
44,3,012549,012615,lpt,dj,
45,1,012627,012635,lpt,xm,
46,2,012655,012727,dj,xm,
47,14,012826,013440,xm,jpt,
48,4,013853,014021,lpt,xm,
49,9,014220,014303,jpt,lpt,
50,1,014723,014725,jpt,xm,
51,1,014737,014748,xm,lpt,
52,3,014748,015100,jpt,xm,
