1,1,000208,000211,whtj,wh,
2,6,000213,000235,yc,wh,
3,1,000313,000315,tj,yx,
4,1,000323,000324,yc,yx,
5,9,000326,000441,yc,wh,
6,1,000458,000517,bby,bby,
7,1,000523,000526,jc,wh,
8,3,000651,000727,dwtj,wh,
9,1,000737,000740,dwsw,yj,
10,7,000745,001031,yj,dw,
11,6,001051,001053,wh,yj,
12,1,001309,001317,bby,bby,
13,3,001321,001345,jty,dw,
14,3,001346,001412,yj,wh,
15,1,001412,001414,gn,wh,
16,3,001414,001418,yj,gn,
17,3,001435,001505,yj,wh,
18,1,001509,001511,yxtj,yx,
19,3,001512,001518,yj,yx,
20,3,001518,001529,yc,yj,
21,4,001532,001542,yx,yj,
22,1,001543,001545,yc,yj,
23,1,001551,001553,yj,yx,
24,1,001555,001557,yc,yj+yx,
25,8,001623,001716,jc,jty,
26,1,001733,001741,bby,bby,
27,9,001753,001842,jc,wh,
28,1,001946,002015,dw,yc+yj+yx+wh,
29,1,002019,002030,yc,dw,
30,1,002030,002056,dw,yc+yj+yx+wh,
31,3,002056,002107,yx,dw,
32,1,002113,002114,dw,yc+yj+yx+wh,
33,4,002116,002125,yc,dw,
34,1,002130,002134,dw,wh,
35,4,002136,002144,dw,jc,
36,2,002144,002200,wh,dw,
37,1,002217,002219,dw,yc,
38,1,002224,002226,yc,wh,
39,1,002234,002236,yx,wh,
40,1,002241,002244,dw,yc+yx,
41,2,002254,002303,yj,dw,
42,2,002316,002339,yx,wh,
43,3,002404,002415,dw,yc+yj+yx,
44,3,002421,002439,dw,yc,
45,5,002440,002458,dw,yj,
46,1,002506,002508,dwtj,dw,
47,6,002516,002654,wh,dw,
48,1,002656,002705,bby,bby,
49,1,002715,002718,jc,wh,
50,1,002844,002845,wh,dw,
51,7,002918,003009,dw,yx,
52,4,003022,003115,yx,jc,
53,1,003208,003210,yxtj,yx,
54,6,003229,003252,yc,wh,
55,1,003257,003258,wh,jc,
56,2,003310,003320,wh,whtj,
57,3,003324,003429,wh,yx,
58,1,003455,003456,wh,whtj+gn,
59,7,003606,003714,yxsm,wh,
60,1,003808,003811,gn,yx,
61,1,003850,003852,yx,yxsm,
62,1,003959,003960,yx,dw,
63,1,003960,004002,dwtj,dw,
64,1,004003,004006,yx,dw,
65,1,004011,004013,dw,yxsm,
66,1,004025,004031,dw,dwtj,
67,1,004035,004042,dw,yx,
68,8,004054,004244,dw,yxsm,
69,2,004244,004305,dwtj,jty,
70,9,004313,004409,jty,dw,
71,5,004455,004608,wh,dw,
72,1,004619,004620,whtj,wh,
73,11,004632,004931,yj,wh,
74,1,004944,004949,bby,bby,
75,1,005008,005059,yj,wh,
76,1,005218,005220,whtj,wh,
77,10,005221,005333,yx,wh,
78,17,005519,005631,jc,yx,
79,1,005644,005646,yxsm,jc,
80,1,005648,005655,yx,jc,
81,1,005701,005706,jty,yx,
82,1,005707,005710,jty,yxsm,
83,1,005712,005718,yxsm,yx,
84,1,005718,005720,jty,yxsm,
85,1,005722,005723,jc,yxsm,
86,1,005723,005725,yxsm,yx,
87,1,005729,005740,jty,yx,
88,8,005748,005809,yxsm,jc,
89,1,005812,005814,jty,yxsm,
90,1,005822,005823,yxsm,jc,
91,4,005850,005901,jty,yxsm,
92,1,010022,010025,jty,ylj,
93,3,010029,010137,yxsm,jty,
94,1,010243,010245,whtj,wh,
95,11,010300,010500,yx,wh,
96,1,010501,010509,ty,wh,
97,4,010545,010626,yx,wh,
98,2,010818,010923,dw,yx,
99,1,010951,010952,dw,yc+yj+yx,
100,1,010954,010957,yj,dw,
101,4,011021,011044,dw,yx,
102,1,011151,011158,whtj,wh,
103,7,011206,011316,yj,wh,
104,2,011523,011534,dwsv,jdz,
105,3,011712,011717,jc,yxsm,
106,1,011729,011733,whti,jc+yxsm,
107,2,011744,011750,whtj,wh+dw,
108,1,011759,011800,dw,wh,
109,2,011835,011900,yxsm,dw,
110,1,011902,011904,dw,wh,
111,2,011905,011911,yxsm,dw,
112,2,011914,011917,yx,dw,
113,1,011917,011920,wh,yx,
114,1,011921,011922,yxsm,wh,
115,1,011923,011925,wh,yx,
116,1,011925,011926,yxsm,wh,
117,1,011927,011931,wh,yx,
118,2,011936,011952,yx,dw,
119,2,011958,012006,dw,wh,
120,1,012006,012008,yx,dw,
121,1,012036,012039,yxsm,jc,
122,1,012044,012049,yx,wh,
123,1,012059,012111,yxsm,jc,
124,2,012309,012312,dw,wh,
125,2,012316,012331,wh,yc,
126,1,012333,012337,wh,yx,
127,4,012339,012403,dw,yc,
128,1,012501,012504,yx,wh,
129,1,012747,012748,hjj,hjj,
130,1,012908,012909,hjj,hjj,
131,1,013105,013109,ylj,ylj,
132,1,013122,013123,ylj,ylj,
133,1,013141,013142,hjj,hjj,
134,1,013158,013205,dwsw,ylj,
135,1,013212,013214,ylj,ylj,
136,1,013307,013309,hjj,hjj,
137,1,013311,013325,ylj,ylj,
138,1,013353,013356,ylj,ylj,
139,1,013607,013609,dwsw,ylj,
140,3,013845,013907,dw,wh,
141,2,014228,014318,dw,yj,
142,1,014328,014506,gn,wh,
143,2,014519,014526,dw,dwsw,
144,1,014529,014549,dw,yj,
145,1,014648,014655,yj,wh,
