1,1,000203,000205,wl,nj,
2,5,000257,000309,rz,pl,
3,5,000310,000342,wl+pl,jdl,
4,1,000342,000356,wl,dz,
5,2,000356,000402,nj,wl,
6,2,000402,000407,nj,pl,
7,23,000407,000713,wl,pl,
8,1,000713,000714,bby,yj,
9,7,000750,000820,wl,pl,
10,1,000825,000851,bby,djj+ljj+wjj+cjj,
11,6,000902,000921,wl,pl,
12,7,000921,000947,ljj,wl+pl,
13,2,000947,000956,ljj,sds,
14,2,000957,001000,sds,wjs,
15,1,001002,001003,sds,ljj,
16,3,001004,001006,ljj,wl+pl,
17,2,001009,001011,wl,ljj,
18,1,001014,001016,ljj,sds,
19,2,001016,001018,djj,wjj,
20,4,001020,001035,ljj,wl,
21,1,001037,001038,ljj,bby,
22,1,001050,001051,ljj,wl+pl,
23,2,001054,001111,sds,ljj,
24,1,001112,001115,cjj,ljj,
25,1,001115,001126,wjs,cjj,
26,1,001130,001134,ljj,sds,
27,1,001135,001136,wjj,sds,
28,1,001141,001147,wjs,sds,
29,2,001147,001201,jdz,sds,
30,1,001222,001226,wl,ljj,
31,4,001227,001240,pl,wl,
32,4,001241,001311,wl,wjs,
33,3,001317,001325,wjs,py,
34,2,001332,001341,wjs,sds,
35,1,001354,001511,py,wl+pl,
36,11,001556,001729,wl,pl,
37,2,001736,001739,sds,bby,
38,1,001834,001837,cjj,yj,
39,1,001857,001859,sds,hjjjjjjj,
40,2,002002,002010,pl,wl,
41,1,002032,002035,wjs,sds,
42,1,002035,002036,sds,bby,
43,2,002114,002118,sds,djj,
44,1,002141,002144,wl,pl,
45,1,002202,002206,wl,py,
46,1,002213,002214,wl,bld,
47,8,002218,002510,pl,wl,
48,1,002535,002537,sds,wl+pl,
49,2,002537,002542,wl,ljj,
50,1,002542,002545,wjs,wl,
51,2,002546,002550,sds,py,
52,1,002618,002620,py,wl,
53,2,002644,002718,sds,ljj,
54,11,002720,002822,bld,wl,
55,8,002825,002855,pl,wl,
56,2,002927,002940,ljj,wl+pl,
57,1,002942,002943,pl,wl,
58,1,002948,002958,cjj,sds,
59,1,003005,003007,wl,ljj,
60,1,003007,003011,ljj,cjj,
61,1,003014,003019,sds,wl,
62,2,003025,003028,ljj,wl,
63,1,003029,003032,cjj,wl,
64,2,003033,003038,wl,ljj,
65,13,003041,003153,wl,pl,
66,5,003153,003208,wl,ljj,
67,3,003212,003230,bld,pl,
68,9,003230,003346,wl,ljj,
69,2,003349,003356,bld,pl,
70,1,003406,003421,ljj,wl,
71,1,003426,003428,hjjjjjjj,ljj,
72,15,003431,003635,ljj,wl,
73,7,003649,003747,bld,wl+pl,
74,9,003755,003925,wjs,wl,
75,1,003947,004127,sds,ljj+lj,
76,4,004135,004207,sds,ljj,
77,2,004208,004234,sds,cjj+djj+wjj+wjs,
78,1,004414,004419,wjs,wl+pl,
79,1,004421,004511,sdr,cjj+djj+wjj+wjs+ljj,
80,1,004514,004515,ljj,sdr,
81,1,004518,004523,wi,ljj,
82,1,004523,004526,wjs,cjj+wjj+djj+sdr,
83,2,004526,004542,wl,ljj,
84,1,004542,004546,wjs,cjj+wjj+djj+sdr,
85,1,004547,004549,wl,ljj,
86,1,004549,004553,wjs,cjj+wjj+djj+sdr,
87,1,004554,004610,pl,wl,
88,1,004620,004623,wjs,yj,
89,2,004629,004630,cjj,yj,
90,3,004707,004731,cjj,py,
91,4,004803,004822,pl,bld,
92,2,004908,004911,ljj,gsd,
93,1,004915,004916,ljj,hj,
94,2,004922,004925,wjj,hj,
95,1,004926,004927,ljj,gsd+hj,
96,5,005006,005023,pl,bld,
97,1,005027,005028,ljj,cjj,
98,1,005028,005036,cjj,yj,
99,1,005117,005118,wjs,cjj+ljj,
100,1,005119,005120,ljj,wjs,
101,1,005146,005147,wjs,ljj+cjj+yj,
102,1,005147,005213,wl,ljj+cjj+yj+wjs,
103,2,005214,005216,ljj,bby,
104,1,005231,005234,wjs,wl,
