1,1,000142,000201,wm,wm,
2,1,000236,000240,sb,cx,
3,1,000301,000325,cx,qc,
4,1,000326,000332,qc,qw,
5,1,000346,000349,dtj,wm,
6,1,000426,000433,sw,wm,
7,5,000503,000540,qw,wm,
8,1,000541,000542,qw,dtj,
9,1,000543,000551,dtj,xtj+wm,
10,15,000608,000723,qw,wm,
11,2,000743,000751,ck,qggs,
12,5,000929,000949,wm,ck,
13,1,001126,001129,wm,fqxs,
14,2,001155,001517,wm,qw,
15,1,001522,001527,qw,dtj,
16,1,001528,001542,dtj,xtj+wm,
17,4,001553,001646,qw,wm,
18,4,001648,001709,sggz,wm,
19,1,001710,001722,wm,qw,
20,7,001724,001752,cj,wm,
21,2,001753,001820,ry,fx,
22,1,001835,001837,cj,sggz,
23,1,001905,001912,wm,qw,
24,1,002021,002022,jdz,jd,
25,1,002025,002042,wm,qw,
26,1,002054,002057,jd,jd,
27,1,002141,002200,sggz,ssm,
28,1,002227,002230,jd,jd,
29,6,002250,002344,qw,wm,
30,1,002346,002349,jd,jd,
31,5,002420,002433,wm,fx,
32,1,002458,002501,jd,jd,
33,4,002643,002659,fx,wm,
34,5,002707,002721,wm,cj,
35,6,002722,002807,wm,qw,
36,8,002818,002842,cj,wm,
37,1,002853,002911,wm,cj+fx,
38,1,003115,003123,cj,ry,
39,2,003150,003340,cj,fx,
40,5,003434,003815,fx,ry,
41,12,003857,004232,wm,qw,
42,3,004245,004247,wm,cj,
43,1,004337,004342,wm,cj+fx,
44,13,004356,004644,fx,cj,
45,3,004817,004837,wm,jdz,
46,1,004920,004921,fx,wm,
47,1,004950,004954,jd,jd,
48,1,004955,004956,fx,wm,
49,1,004957,004959,jd,jd,
50,1,005001,005004,fx,wm,
51,4,005008,005035,jd,jd,
52,1,005104,005105,fx,wm,
53,1,005208,005227,qw,wm,
54,3,005534,005603,ry,wm,
55,12,005636,005906,qw,wm,
56,1,005951,010006,wm,cj+fx,
57,4,010009,010022,cj,wm,
58,2,010023,010030,fx,wm,
59,1,010033,010041,cj,wm,
60,6,010042,010107,qw,wm,
61,1,010108,010109,cj,wm,
62,1,010114,010138,fx,wm,
63,1,010150,010151,ry,cj,
64,1,010157,010158,fx,wm,
65,1,010200,010214,wm,qw,
66,1,010404,010409,cj,ry,
67,4,010433,010445,cj,fx,
68,9,010451,010532,fx,sggz,
69,20,010622,011403,wm,cj,
70,1,011413,011419,cj,ry,
71,1,011434,011500,ry,wm,
72,9,011515,012057,wm,qw,
73,14,012259,012802,fx,cj,
74,1,012911,013023,qc,qw,
75,1,013145,013203,jd,jd,
